type,bw,lat,size,id
D2H-Paged,6.67373,0.00004,262144,1
D2H-Paged,8.02277,0.00007,524288,1
D2H-Paged,8.96449,0.00012,1048576,1
D2H-Paged,9.39837,0.00022,2097152,1
D2H-Paged,10.85510,0.00039,4194304,1
D2H-Paged,12.18708,0.00069,8388608,1
D2H-Paged,12.61094,0.00133,16777216,1
D2H-Paged,12.54507,0.00267,33554432,1
D2H-Paged,13.04978,0.00514,67108864,1
D2H-Paged,12.78036,0.01050,134217728,1
D2H-Paged,12.12053,0.02215,268435456,1
D2H-Paged,12.78925,0.04198,536870912,1
D2H-Paged,12.83533,0.08366,1073741824,1
