Backend	Model	batch_size	input_length	CC_mode	load_time	gen_time	ttft	thruput	real
vllm	quant	8	256	on	26.13189202	1.294489639	0.172659221	49.44033391	927.0062609
vllm	quant	8	512	off	22.5974028	1.311593245	0.326359719	48.79561575	914.9177953
vllm	quant	8	512	on	25.87563894	1.462246602	0.332542864	43.76826721	820.6550101
vllm	quant	8	1024	off	22.64706104	1.680853123	0.656800361	38.07590272	713.923176
vllm	quant	8	1024	on	25.8084889	1.820897514	0.665140804	35.14750254	659.0156726
vllm	quant	16	128	off	22.43052794	1.228375775	0.174603829	208.4052822	1953.79952
vllm	quant	16	128	on	25.88693288	1.382740358	0.178655185	185.1396023	1735.683772
vllm	quant	16	256	off	22.61416378	1.404656439	0.330543758	182.2509711	1708.602854
vllm	quant	16	256	on	26.20331199	1.563979338	0.33625855	163.6850269	1534.547127
vllm	quant	16	512	off	22.54069936	1.755794649	0.651337567	145.8029275	1366.902446
vllm	quant	16	512	on	26.19102966	1.910032874	0.6590661	134.0291068	1256.522876
vllm	quant	16	1024	off	22.35834247	2.443230498	1.309003975	104.7793076	982.3060092
vllm	quant	16	1024	on	26.27684602	2.614410247	1.360247517	97.91883286	917.9890581
vllm	quant	32	128	off	22.22529522	1.744015492	0.338275044	587.1507476	2752.269129
vllm	quant	32	128	on	26.25029113	1.912011286	0.344146476	535.5616923	2510.445433
vllm	quant	32	256	off	22.69745015	2.102531211	0.652576064	487.0320091	2282.962543
vllm	quant	32	256	on	25.99230409	2.269943809	0.659215039	451.1124883	2114.589789
vllm	quant	32	512	off	22.41096063	2.786915564	1.304257722	367.4312969	1722.334204
vllm	quant	32	512	on	26.05469664	2.95446467	1.314164015	346.5940921	1624.659807
vllm	quant	32	1024	off	22.34019604	4.209589399	2.615790968	243.2541284	1140.253727
vllm	quant	32	1024	on	25.9063019	4.409615234	2.628596577	232.2198073	1088.530347
vllm	quant	64	128	off	22.40270412	2.724681176	0.666353085	1503.295151	3523.34801
vllm	quant	64	128	on	25.77793603	2.87291475	0.677723407	1425.72974	3341.554078
vllm	quant	64	256	off	22.45552741	3.418363124	1.309079648	1198.234316	2808.361678
vllm	quant	64	256	on	26.27322639	3.599712589	1.318804613	1137.868621	2666.879581
vllm	quant	64	512	off	22.26947874	4.832748106	2.608021533	847.5508986	1986.447419
vllm	quant	64	512	on	25.84599629	5.063526544	2.621064683	808.9223912	1895.911854
vllm	quant	64	1024	off	22.21953849	7.689439353	5.230566031	532.6786274	1248.465533
vllm	quant	64	1024	on	26.30745457	7.965007636	5.266347073	514.2493501	1205.271914
vllm	quant	128	128	off	22.57844229	4.402039806	1.334814226	3721.910914	4361.614353
vllm	quant	128	128	on	25.91822503	4.57857693	1.341742413	3578.404437	4193.442699
vllm	quant	128	256	off	22.45845927	5.831237602	2.620754028	2809.695148	3292.611502
vllm	quant	128	256	on	25.9837944	5.995796553	2.633617591	2732.581043	3202.24341
vllm	quant	128	512	off	22.22958993	8.669568114	5.213688525	1889.828857	2214.643192
vllm	quant	128	512	on	26.06643451	8.972525216	5.239789253	1826.01883	2139.865817
vllm	quant	128	1024	off	22.37284452	14.52941131	10.45756965	1127.64376	1321.457531
vllm	quant	128	1024	on	25.9484736	14.81358234	10.49322385	1106.012011	1296.107826
