API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
10619901536,5009,10619906545,2457492124,13077398669,102399432,2559896565,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619906776,5041,10619911817,2559887404,13179799221,102399720,2662292165,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619912052,3856,10619915908,2662284089,13282199997,102399785,2764687730,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619916137,4582,10619920719,2764680247,13384600966,102399657,2867084486,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619920953,5573,10619926526,2867075281,13487001807,102399656,2969480510,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619926819,4837,10619931656,2969470991,13589402647,102399657,3071875485,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619931889,4807,10619936696,3071866632,13691803328,102399816,3174271255,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619936926,4366,10619941292,3174262876,13794204168,102399817,3276667059,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619941527,4288,10619945815,3276659193,13896605008,102399818,3379063299,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619946049,5381,10619951430,3379054548,13999005978,102399689,3481459618,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619951665,4648,10619956313,3481450442,14101406755,102399754,3583854844,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619956549,5013,10619961562,3583846131,14203807693,102399658,3686250802,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619961794,4500,10619966294,3686242177,14306208471,102399723,3788646400,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619966569,3748,10619970317,3788639093,14408609410,102399627,3891042468,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619970552,4954,10619975506,3891034523,14511010029,102399850,3993439327,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619975736,4852,10619980588,3993430411,14613410999,102399722,4095834985,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619980817,4916,10619985733,4095826428,14715812161,102399403,4198230747,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619986020,5025,10619991045,4198221543,14818212588,102399818,4300626386,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619991278,3863,10619995141,4300618450,14920613591,102399658,4403021971,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10619995415,5117,10620000532,4403013901,15023014433,102399658,4505418676,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620000760,4591,10620005351,4505409828,15125415179,102399755,4607814174,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620005580,4959,10620010539,4607805450,15227815989,102399787,4710210196,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620010771,5343,10620016114,4710200654,15330216768,102399851,4812605848,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620016347,3772,10620020119,4812597620,15432617739,102399722,4915001114,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620020345,4271,10620024616,4914993869,15535018485,102399818,5017397958,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620024870,5261,10620030131,5017389196,15637419327,102399819,5119794276,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620030373,4689,10620035062,5119785300,15739820362,102399626,5222189615,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620035340,5567,10620040907,5222180298,15842221205,102399626,5324585491,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620041188,3751,10620044939,5324576980,15944621919,102399754,5426980485,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620045172,3810,10620048982,5426973875,16047022857,102399662,5529377347,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620049215,4832,10620054047,5529369592,16149423639,102399725,5631774149,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620054276,5005,10620059281,5631765203,16251824484,102399726,5734169934,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620059516,5733,10620065249,5734160113,16354225362,102399693,5836565539,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620065482,4249,10620069731,5836556444,16456626175,102399727,5938960420,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620069967,3737,10620073704,5938953382,16559027086,102399661,6041356780,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620073934,5115,10620079049,6041348882,16661427931,102399662,6143753659,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620079286,4746,10620084032,6143744745,16763828777,102399661,6246149152,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620084264,5457,10620089721,6246139805,16866229526,102399759,6348545021,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620089958,4906,10620094864,6348535540,16968630404,102399726,6450940172,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620095095,3689,10620098784,6450932498,17071031282,102399694,6553335881,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620099037,5017,10620104054,6553328074,17173432128,102399693,6655732784,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620104295,4934,10620109229,6655723776,17275833005,102399662,6758128372,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620109473,4945,10620114418,6758119337,17378233755,102399758,6860524040,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620114688,5242,10620119930,6860514671,17480634601,102399757,6962919670,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620120162,3667,10620123829,6962911650,17583035479,102399725,7065315042,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620124062,4334,10620128396,7065307896,17685436292,102399757,7167711987,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620128628,4412,10620133040,7167704162,17787837202,102399694,7270108268,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620133271,4977,10620138248,7270099704,17890237952,102399789,7372504470,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620138523,5210,10620143733,7372495128,17992638861,102399726,7474900064,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620143967,4184,10620148151,7474891620,18095039771,102399663,7577295467,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620148426,4499,10620152925,7577287597,18197440522,102399759,7679691855,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620153156,4666,10620157822,7679683962,18299841784,102399344,7782087972,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620158055,4930,10620162985,7782079551,18402242536,102399439,7884483920,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620163216,5685,10620168901,7884474290,18504643191,102399630,7986879605,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620169129,4807,10620173936,7986869973,18607043909,102399759,8089274539,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620174170,3790,10620177960,8089266860,18709444820,102399695,8191670345,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620178192,4779,10620182971,8191662632,18811845603,102399759,8294067170,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620183201,4694,10620187895,8294058587,18914246482,102399726,8396463007,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620188130,13037,10620201167,8396446130,19016647297,102399758,8498858925,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620201598,5673,10620207271,8498840872,19119048143,102399760,8601246305,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620207536,3719,10620211255,8601238120,19221449375,102399374,8703641213,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620211514,4385,10620215899,8703634034,19323849933,102399663,8806038082,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620216192,4298,10620220490,8806030162,19426250652,102399790,8908434250,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620220759,5660,10620226419,8908425144,19528651563,102399727,9010830531,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620226650,4913,10620231563,9010820879,19631052442,102399695,9113225487,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620231794,4500,10620236294,9113216963,19733453257,102399726,9215621189,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620236522,4789,10620241311,9215612792,19835854103,102399727,9318017308,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620241541,4288,10620245829,9318009185,19938255014,102399663,9420413136,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620246066,5414,10620251480,9420404380,20040655860,102399666,9522809460,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620251712,4862,10620256574,9522800136,20143056710,102399666,9625204664,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620256802,4741,10620261543,9625195953,20245457496,102399729,9727600423,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620261776,4424,10620266200,9727592145,20347858345,102399730,9829996299,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620266472,4763,10620271235,9829987832,20450259067,102399859,9932392454,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620271463,5041,10620276504,9932383446,20552659950,102399825,10034788312,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620276736,5516,10620282252,10034778708,20655060960,102399665,10137183889,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
10620282485,4881,10620287366,10137174475,20757461841,102399634,10239578990,2344,2344,0,cudaLaunchKernel,  32    1    1,   1    1    1,bar()
